journal_title,normalized_title,issn,eissn,publisher,abdc_rating,abdc_for,ajg2024,ajg_field,in_ft50,in_utd24,in_hci_sjr_q1,is_preprint_platform,source_lists,obhrm_candidate,inclusion_reason,review_status
Annual Review of Psychology,annual review of psychology,0066-4308,1545-2085,Annual Reviews,A*,3507,4,PSYCH (GENERAL),False,False,False,False,AJG2024_4;ABDC_A*,True,ABDC FoR 3507,needs_review
Annual Review of Sociology,annual review of sociology,0360-0572,1545-2115,Annual Reviews,A*,3507,4*,SOC SCI,False,False,False,False,AJG2024_4*;ABDC_A*,True,ABDC FoR 3507,needs_review
Anti Trust Law Journal,anti trust law journal,0003-6056,,American Bar Association,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Appetite,appetite,0195-6663,1095-8304,Elsevier,A,3506,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Applied Economics,applied economics,0003-6846,1466-4283,Taylor & Francis Online,A,3801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Applied Energy,applied energy,0306-2619,,Elsevier,A,3599,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Applied Psychology: An International Review,applied psychology an international review,0269-994X,1464-0597,Wiley-Blackwell Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507; title keyword 'applied psychology',include_candidate
Asia Pacific Journal of Management,asia pacific journal of management,0217-4561,1572-9958,Springer International Publishing,A,3507,,,False,False,False,False,ABDC_A,True,ABDC FoR 3507,needs_review
Asia Pacific Journal of Marketing and Logistics,asia pacific journal of marketing and logistics,1355-5855,1758-4248,Emerald Group Publishing,A,3506,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Asia Pacific Journal of Tourism Research,asia pacific journal of tourism research,1094-1665,1741-6507,Taylor & Francis Online,A,3508,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Asia-Pacific Journal of Human Resources,asia pacific journal of human resources,1038-4111,1744-7941,Wiley-Blackwell Publishing,A,3505,,,False,False,False,False,ABDC_A,True,ABDC FoR 3505,needs_review
ASTIN Bulletin,astin bulletin,0515-0361,1783-1350,Cambridge University Press,A*,3502,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Auditing: A Journal of Practice and Theory,auditing a journal of practice and theory,0278-0380,1558-7991,American Accounting Association,A*,3501,,,False,False,False,False,ABDC_A*,False,,excluded_by_scope
Australasian Journal of Information Systems,australasian journal of information systems,1449-8618,1326-2238,Australasian Association for Information Systems (AAIS),A,4609,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australasian Marketing Journal,australasian marketing journal,1441-3582,1839-3349,Sage Publications,A,3506,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
Australian and New Zealand Journal of Criminology,australian and new zealand journal of criminology,0004-8658,1837-9273,Sage Publications,A,4801,,,False,False,False,False,ABDC_A,False,,excluded_by_scope
